Name,f,m,Keine Person,Unbekannt,Zuordnung,Bemerkungen
Doctor-Eisenbart-Ring,,x,,,m,
Dodendorfer Platz,,,x,,n,
Dodendorfer Straße,,,x,,n,
Dodendorfer Weg,,,x,,n,
Dohlenstieg,,,x,,n,
Döllweg,,,x,,n,
Domersleber Weg,,,x,,n,
Domplatz,,,x,,n,
Dorfplatz,,,x,,n,
Dorfstraße,,,x,,n,
Dornburger Weg,,,x,,n,
Dorotheenstraße,x,,,,f,
Dr.-Grosz-Straße,,x,,,m,
Dr.-Weißler-Weg,,x,,,m,
Drackenstedter Weg,,,x,,n,
Draisweg,,x,,,m,
Dräseckeplatz,,x,,,m,
Dreibrückenstraße,,,x,,n,
Dreileber Weg,,,x,,n,
Drews-Privatweg,,,,x,?,
Drosselsteig,,,x,,n,
Drübecker Weg,,,x,,n,
Druxberger Weg,,,x,,n,
Dükerweg,,,,x,?,
Dungertweg,,x,,,m,
Düppler Grund,,,x,,n,
Düppler Mühlenplatz,,,x,,n,
Düppler Mühlenstraße,,,x,,n,
Dürerstraße,,x,,,m,
Ebel-Privatweg,,,,x,?,
Ebendorfer Chaussee,,,x,,n,
Ebendorfer Straße,,,x,,n,
Eckernförder Straße,,,x,,n,
Ede-und-Unku-Weg,x,,,,f,
Editharing,x,,,,f,
Edithawinkel,x,,,,f,
Egelner Straße,,,x,,n,
Egerländer Weg,,,x,,n,
Eggersdorfer Straße,,,x,,n,
